Blancas,Negras,Result,ECO,Opening
SuperSayayinDios,AngelLuque,1-0,C00,French Defense: Normal Variation
Darshan_Kanuri,AngelLuque,0-1,A00,Hungarian
AngelLuque,Darshan_Kanuri,0-1,A00,Van't Kruijs
Darshan_Kanuri,AngelLuque,1-0,A00,Hungarian
AngelLuque,Darshan_Kanuri,0-1,A00,Hungarian
Darshan_Kanuri,AngelLuque,1-0,A00,Hungarian
yashas_202419,AngelLuque,1-0,A00,Gedult's
ibrahim_aslan,AngelLuque,0-1,C00,French Defense: Knight Variation
Anna_Sophie,AngelLuque,1-0,A04,Zukertort : Pirc Invitation
AngelLuque,Anna_Sophie,0-1,A00,Van't Kruijs
AngelLuque,Yanare,1-0,A00,Van't Kruijs
ASebastian_SanRamon,AngelLuque,1-0,A41,Queen's Pawn Game
AngelLuque,CaldodeMazapan,0-1,A00,Van't Kruijs
CaldodeMazapan,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,aatulya_shiva,0-1,A00,Hungarian : Slav Formation
aatulya_shiva,AngelLuque,1-0,C00,French Defense: Knight Variation
AngelLuque,j_smerdel54,1-0,A00,Van't Kruijs
j_smerdel54,AngelLuque,1-0,C00,French Defense: Queen's Knight
AngelLuque,j_smerdel54,1-0,A00,Van't Kruijs
AngelLuque,Rohitbhupalam,0-1,A00,Van't Kruijs
AngelLuque,LeoGF,0-1,A00,Van't Kruijs
AngelLuque,cchallenge355,0-1,C25,Vienna Game: Anderssen Defense
AngelLuque,Murilogs,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
pysalmon,AngelLuque,0-1,C00,Rat Defense: Small Center Defense
PoulpeDeter38,AngelLuque,0-1,C44,Scotch Game
AngelLuque,Bad_Opening,1-0,C25,Vienna Game: Paulsen Variation
CoolDudeChess,AngelLuque,0-1,D00,Queen's Pawn Game: Mason Variation
AngelLuque,ashotvazilinov,0-1,B29,Sicilian Defense: Nimzowitsch Variation
Erlik28,AngelLuque,1/2-1/2,C00,French Defense
ConquerorChess,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,ConquerorChess,1/2-1/2,B20,Sicilian Defense
AngelLuque,kiachess_master90,0-1,C40,King's Pawn Game: Busch-Gass Gambit
Passion2Play,AngelLuque,0-1,A00,Van Geet : Reversed Nimzowitsch
AngelLuque,I-Saswata_01,1-0,A00,Van't Kruijs
Wunders,AngelLuque,1-0,C00,French Defense
zamogholi,AngelLuque,0-1,A01,Nimzo-Larsen Attack
AngelLuque,Isunshining,1-0,A00,Van't Kruijs
CheckaKhan,AngelLuque,0-1,C47,Four Knights Game: Scotch Variation
vladsuar,AngelLuque,1-0,A40,Queen's Pawn Game
AngelLuque,edwuinb1,0-1,-1,-1
Williams_Abreu78,AngelLuque,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
AngelLuque,vladsuar,0-1,B54,Sicilian Defense: Accelerated Dragon
jeffren10,AngelLuque,1-0,B00,King's Pawn
guadajg,AngelLuque,1-0,B00,King's Pawn
AngelLuque,Williams_Abreu78,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
AngelLuque,oscarhernadez,0-1,-1,-1
edwuinb1,AngelLuque,1-0,B00,King's Pawn
jeffren10,AngelLuque,1-0,C50,Italian Game: Giuoco Pianissimo
DeepZi,AngelLuque,1/2-1/2,D07,Queen's Gambit Declined: Chigorin Defense
AngelLuque,DeepZi,0-1,C57,"Italian Game: Two Knights Defense, Fritz Variation"
AngelLuque,jjejjejje,0-1,B01,Scandinavian Defense: Main Line
AngelLuque,B61302865LEANDRO,1-0,C50,Italian Game
AngelLuque,logankei2015,0-1,B00,Nimzowitsch Defense: Williams Variation
AngelLuque,lichess AI level 1,0-1,C00,French Defense
Koncheta,AngelLuque,1-0,D02,Queen's Pawn Game: Zukertort Variation
michaelmay248,AngelLuque,1-0,A00,Van't Kruijs
AngelLuque,Jp_chessplay,0-1,A00,Van't Kruijs
Jp_chessplay,AngelLuque,1-0,B00,Pirc Defense
noobplayerr,AngelLuque,0-1,A40,Horwitz Defense
AngelLuque,chriss1,0-1,B00,Pirc Defense
Rainman024,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
vitocatur7,AngelLuque,1-0,C00,French Defense: Steiner Variation
AngelLuque,Dhimanji1,1-0,A00,Van't Kruijs
AngelLuque,arjun813,1-0,A00,Van't Kruijs
arjun813,AngelLuque,0-1,C00,French Defense
AngelLuque,arjun813,1-0,A00,Van't Kruijs
AngelLuque,Joncena958,1-0,A00,Van't Kruijs
Fa11enEmpire,AngelLuque,0-1,C00,French Defense: Steinitz Attack
T-Will,AngelLuque,1-0,A40,Horwitz Defense
jef808,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,ohidulislam725,0-1,A00,Van't Kruijs
AngelLuque,Urugamoth,0-1,A00,Van't Kruijs
Pynch,AngelLuque,0-1,C00,French Defense: Knight Variation
AngelLuque,cuzzyK,0-1,A00,Van't Kruijs
Mcandrew,AngelLuque,1-0,A41,Queen's Pawn Game
AngelLuque,dario-pal,0-1,C42,Russian Game: Three Knights Game
AngelLuque,Max-333,0-1,C00,French Defense: Knight Variation
AngelLuque,NikkPolll,0-1,A00,Van't Kruijs
Al_Sorna,AngelLuque,0-1,A04,Zukertort : Queen's Gambit Invitation
fditomaso,AngelLuque,0-1,B00,Pirc Defense
AngelLuque,fditomaso,0-1,C41,Philidor Defense
fditomaso,AngelLuque,0-1,C00,French Defense: Knight Variation
AngelLuque,fditomaso,1-0,A00,Van't Kruijs
fditomaso,AngelLuque,0-1,C00,French Defense: Knight Variation
AngelLuque,fditomaso,1-0,A00,Van't Kruijs
fditomaso,AngelLuque,0-1,C00,French Defense: Steinitz Attack
AngelLuque,MerTTuncer,0-1,B01,Scandinavian Defense: Classical Variation
MerTTuncer,AngelLuque,1-0,C00,French Defense: Queen's Knight
AngelLuque,MerTTuncer,0-1,A00,Van't Kruijs
MerTTuncer,AngelLuque,1-0,C00,French Defense: Queen's Knight
AngelLuque,dk_pocket,0-1,B06,Modern Defense
Grandmasterzurg,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
genady555,AngelLuque,1-0,-1,-1
AngelLuque,KINGVADER1,1-0,-1,-1
hazard963,AngelLuque,0-1,-1,-1
AngelLuque,hazard963,0-1,-1,-1
KINGVADER1,AngelLuque,1-0,-1,-1
AngelLuque,Diyanparmar,1-0,-1,-1
Diyanparmar,AngelLuque,0-1,-1,-1
AngelLuque,IndiaRocks,1-0,-1,-1
AngelLuque,lazyking23,0-1,-1,-1
Gravindar,AngelLuque,1-0,-1,-1
nilesha2009,AngelLuque,1-0,-1,-1
AngelLuque,nilesha2009,0-1,-1,-1
MuhammadSameer_Tenby,AngelLuque,1-0,-1,-1
AngelLuque,IS_POBEDA,0-1,-1,-1
AngelLuque,Farsal,1/2-1/2,C40,King's Pawn Game: Damiano Defense
AARYANSAVALIA,AngelLuque,1-0,-1,-1
AngelLuque,Sammy122809,0-1,-1,-1
MIHIR_SHAH17,AngelLuque,0-1,-1,-1
AngelLuque,Christinenj,0-1,-1,-1
Sangkeerthana,AngelLuque,0-1,-1,-1
Danil_Edalov77,AngelLuque,1-0,-1,-1
vishal1998,AngelLuque,1-0,A00,Van't Kruijs
AngelLuque,Yash5507,0-1,A00,Van't Kruijs
YuvrajS,AngelLuque,1-0,A00,Van't Kruijs
AngelLuque,Yotebersekeo,0-1,A00,Van't Kruijs
Bolt88,AngelLuque,1-0,C00,French Defense
LukaszS,AngelLuque,1-0,A00,Mieses
AngelLuque,MontMagg,1-0,A00,Van't Kruijs
AngelLuque,DagdanOwezow,0-1,A00,Van't Kruijs
Hendralem,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,GeneralBeefheart,0-1,-1,-1
Srush1,AngelLuque,1-0,C00,French Defense: Knight Variation
skppulai_L12_Zulfitr,AngelLuque,0-1,A00,Polish
AngelLuque,dikku_2k20,1/2-1/2,C41,Philidor Defense
AngelLuque,juseph,0-1,C42,Russian Game: Three Knights Game
El3ctro,AngelLuque,1-0,C44,King's Knight : Normal Variation
AngelLuque,TigrePierre,0-1,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation"
DreamAR,AngelLuque,1-0,C00,French Defense: Queen's Knight
mherize,AngelLuque,1-0,A04,Zukertort : Queen's Gambit Invitation
AngelLuque,DrPennywise,0-1,A00,Van't Kruijs
AngelLuque,vladsuar,0-1,-1,-1
douglasabreu,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,ragrava,1-0,A00,Van't Kruijs
AngelLuque,DrPennywise,0-1,A00,Van't Kruijs
Alan_Abreu,AngelLuque,1-0,B00,King's Pawn
AngelLuque,douglasabreu,1-0,A00,Mieses : Reversed Rat
vladsuar,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,ragrava,1-0,A00,Van't Kruijs
AngelLuque,jeffren10,0-1,A00,Van't Kruijs
vladsuar,AngelLuque,1-0,A40,Horwitz Defense
douglasabreu,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,vladsuar,0-1,A00,Van't Kruijs
douglasabreu,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,vladsuar,0-1,A00,Van't Kruijs
mherize,AngelLuque,1-0,A04,Zukertort
AngelLuque,douglasabreu,0-1,A00,Van't Kruijs
DrPennywise,AngelLuque,1-0,C00,French Defense
AngelLuque,Zushio,0-1,A00,Van't Kruijs
Zushio,AngelLuque,1-0,C00,French Defense
AngelLuque,Zushio,0-1,A00,Van't Kruijs
Zushio,AngelLuque,1-0,C00,French Defense
AngelLuque,Marquinho002,0-1,B01,Scandinavian Defense: Main Line
NonoM,AngelLuque,1-0,C44,King's Knight : Konstantinopolsky
PilotoX,AngelLuque,1-0,D00,Queen's Pawn Game
AngelLuque,Trucoki,0-1,B00,Owen Defense
Trucoki,AngelLuque,0-1,A00,Polish
AngelLuque,Trucoki,1-0,B06,Modern Defense
Trucoki,AngelLuque,0-1,A06,Zukertort
AngelLuque,Trucoki,0-1,B00,Nimzowitsch Defense: Declined Variation
Rothaus666,AngelLuque,1-0,C00,French Defense: Queen's Knight
Sanzay,AngelLuque,1-0,C00,French Defense: Steinitz Attack
AngelLuque,creathix,0-1,A00,Van't Kruijs
AngelLuque,MaelaParrales,1-0,C50,"Italian Game: Giuoco Pianissimo, Normal"
N8_Alexander,AngelLuque,1/2-1/2,C48,Four Knights Game: Spanish Variation
AngelLuque,francisco559,1-0,C50,Italian Game
Harlan2010,AngelLuque,1-0,C50,Four Knights Game: Italian Variation
AngelLuque,Ariadne_vilela_410-8,1-0,C40,Latvian Gambit Accepted
AngelLuque,Perseo20,0-1,C57,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit"
DANIELALEJANDROO,AngelLuque,1-0,C50,"Italian Game: Classical Variation, Albin Gambit"
AngelLuque,JamalCrawford,0-1,A00,Van't Kruijs
nvardhay012,AngelLuque,1-0,A00,Mieses
AngelLuque,Taimon,0-1,-1,-1
chessroshi89,AngelLuque,1-0,A41,Old Indian Defense
AngelLuque,Ahmedelzain,0-1,A00,Van't Kruijs
mohammedGG,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,Bagzyymogues,0-1,A00,Van't Kruijs
AngelLuque,rkido,0-1,A00,Van't Kruijs
mckinneyjb3,AngelLuque,0-1,C00,Rat Defense: Small Center Defense
AngelLuque,rkido,0-1,A00,Van't Kruijs
tdyre,AngelLuque,1-0,C00,French Defense
AngelLuque,Pumped_up,0-1,A00,Van't Kruijs
AngelLuque,Rbthome,0-1,A00,Van't Kruijs
Rbthome,AngelLuque,1/2-1/2,C00,French Defense: Knight Variation
AngelLuque,Rbthome,1-0,C20,King's Pawn Game: Leonardis Variation
AngelLuque,BruceTheMoose,0-1,A00,Van't Kruijs
BruceTheMoose,AngelLuque,1-0,C00,French Defense: La Bourdonnais Variation
AngelLuque,BruceTheMoose,1-0,A00,Van't Kruijs
BruceTheMoose,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
Aaditya2828,AngelLuque,0-1,C40,King's Pawn Game: Damiano Defense
AngelLuque,cuvalda,0-1,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation
frozana,AngelLuque,1-0,A00,Mieses
AngelLuque,Porras32,0-1,C60,Ruy Lopez: Cozio Defense
AngelLuque,Pappfigur,1/2-1/2,A00,Van't Kruijs
Pappfigur,AngelLuque,1-0,A41,Queen's Pawn Game
AngelLuque,Pappfigur,0-1,A00,Van't Kruijs
Pappfigur,AngelLuque,1-0,B00,Pirc Defense
AngelLuque,oceousman,1/2-1/2,C40,King's Pawn Game: McConnell Defense
Virajkevate,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,LaCaja,1-0,A00,Van't Kruijs
AngelLuque,king_8888,1-0,A00,Van't Kruijs
AngelLuque,aatulya_shiva,0-1,A00,Van't Kruijs
AngelLuque,Renetorrez_3,0-1,C42,Russian Game: Nimzowitsch Attack
Vickaar,AngelLuque,1-0,C46,Three Knights
passionate010,AngelLuque,1-0,C00,French Defense: Steiner Variation
Askardas,AngelLuque,1-0,C00,French Defense: Queen's Knight
AngelLuque,BasilChess2020,1-0,A00,Mieses
escargot77,AngelLuque,0-1,A40,Horwitz Defense
chibby_ikem,AngelLuque,1/2-1/2,C00,French Defense: Knight Variation
AngelLuque,Jesudeyi,1/2-1/2,A00,Van't Kruijs
fouikiai,AngelLuque,0-1,A40,Horwitz Defense
AngelLuque,EddieChess88,1-0,A00,Van't Kruijs
AngelLuque,grego77,0-1,-1,-1
AngelLuque,grego77,0-1,A00,Van't Kruijs
Navajo_Chess,AngelLuque,0-1,C00,French Defense: La Bourdonnais Variation
AngelLuque,Navajo_Chess,0-1,A00,Van't Kruijs
Navajo_Chess,AngelLuque,0-1,C00,French Defense: La Bourdonnais Variation
mehtiozyurek,AngelLuque,1-0,C00,French Defense: Knight Variation
AngelLuque,RSama,0-1,A00,Van't Kruijs
rambo8,AngelLuque,1-0,C00,French Defense: La Bourdonnais Variation
DanBoyo,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,jordanpadillatamayo,1-0,A00,Van't Kruijs
Poseidon57,AngelLuque,1-0,C00,French Defense: Knight Variation
AngelLuque,Light13,1-0,A00,Van't Kruijs
Light13,AngelLuque,1-0,C00,French Defense: Carlson Gambit
GreenYellowArmy,AngelLuque,0-1,C00,French Defense: Knight Variation
AngelLuque,GreenYellowArmy,1-0,A00,Van't Kruijs
GreenYellowArmy,AngelLuque,0-1,C00,French Defense: Knight Variation
AngelLuque,MilanBihani,1/2-1/2,A00,Van't Kruijs
mortcc,AngelLuque,0-1,A00,Saragossa
Bernd58,AngelLuque,1-0,C40,King's Knight
Don1Geilo,AngelLuque,1-0,C62,Ruy Lopez: Steinitz Defense
AngelLuque,Fantom83,0-1,C41,Philidor Defense
Dimitrios_S,AngelLuque,1-0,C50,Four Knights Game: Italian Variation
AngelLuque,amirportiansky,0-1,C50,Italian Game: Schilling-Kostic Gambit
AngelLuque,HasanKarahasanOglu,0-1,A00,Van't Kruijs
AngelLuque,HasanKarahasanOglu,0-1,A00,Van't Kruijs
HasanKarahasanOglu,AngelLuque,1-0,B00,Pirc Defense
AngelLuque,HasanKarahasanOglu,1/2-1/2,C00,French Defense: King's Indian Attack
AngelLuque,rabiafuria,1/2-1/2,A00,Van't Kruijs
AngelLuque,BF2000,1-0,A00,Van't Kruijs
LTKAUNAS,AngelLuque,1-0,A00,Mieses
abhayj123,AngelLuque,0-1,A40,Horwitz Defense
AngelLuque,abhayj123,1-0,A00,Van't Kruijs
abhayj123,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,abhayj123,1-0,A00,Van't Kruijs
metalpig,AngelLuque,0-1,C00,Rat Defense: Small Center Defense
Portero1983,AngelLuque,0-1,A00,Mieses
AngelLuque,booboo111,0-1,B00,Pirc Defense
ElemYaso,AngelLuque,1/2-1/2,C40,King's Knight
AngelLuque,dipak21,0-1,A00,Van't Kruijs
AngelLuque,MaksimK83,0-1,A00,Van't Kruijs
AngelLuque,BSCR,0-1,A00,Van't Kruijs
RiverM,AngelLuque,0-1,C00,French Defense
AngelLuque,RuRuBrown,1-0,A00,Van't Kruijs
AngelLuque,JJCPT,0-1,A00,Van't Kruijs
yehiaax,AngelLuque,1-0,C00,French Defense: Knight Variation
rOhIt292,AngelLuque,1-0,C00,French Defense: Knight Variation
ikiz2z,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,ikiz2z,1-0,A00,Van't Kruijs
ikiz2z,AngelLuque,1-0,C00,French Defense: Knight Variation
AngelLuque,CollinTheeStump,1-0,A00,Van't Kruijs
woapa,AngelLuque,0-1,C00,French Defense: Knight Variation
AngelLuque,Lustre_Mark001,0-1,A00,Van't Kruijs
tafaraluv07,AngelLuque,1-0,C00,French Defense: Steinitz Attack
Aravindsuresh007,AngelLuque,0-1,C40,King's Knight
ksanchuk,AngelLuque,1-0,C00,French Defense: Steinitz Attack
AngelLuque,ritvikgiri23,1-0,A00,Van't Kruijs
AngelLuque,brekru,0-1,A00,Mieses : Reversed Rat
AngelLuque,SnailHunter,0-1,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1/2-1/2,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,0-1,C00,Rat Defense: Small Center Defense
stevenrose,AngelLuque,0-1,A00,Hungarian
ikiz2z,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,ikiz2z,1-0,A00,Mieses
ikiz2z,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,ikiz2z,1-0,A00,Van't Kruijs
stj989,AngelLuque,1-0,A40,Horwitz Defense
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,0-1,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,0-1,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,0-1,C00,Rat Defense: Small Center Defense
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,0-1,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,1-0,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,1/2-1/2,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1-0,A00,Van't Kruijs
tesekkurlerfatih,AngelLuque,0-1,A00,Van't Kruijs
AngelLuque,tesekkurlerfatih,1-0,A00,Mieses
