Jugador,Partidas,Victoria Blancas,Tablas Blancas,Perdidas Blancas,Victorias Negras,Tablas Negras,Perdidas Negras,No. Victorias Blancas,No. Tablas Blancas,No. Perdidas Blancas,No. Victorias Negras,No. Tablas Negras,No. Perdidas Negras,Cod. Victorias Blancas,Cod. Tablas Blancas,Cod. Perdidas Blancas,Cod. Victorias Negras,Cod. Tablas Negras,Cod. Perdidas Negras
danielbarreto,17113,4769,283,3713,4548,290,3510,995,42,403,568,22,598,A00,A05,A00,A00,A00,A00
jhoseim_torres,20,1,0,8,0,1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mherize,4060,1063,96,899,1042,99,861,91,10,122,171,15,86,C00,B01,B32,B32,B30,B01
rirr2020,894,205,5,266,179,5,234,26,3,37,27,2,23,C45,C45,A43,A43,A43,-1
juandv12,2847,655,88,687,678,57,682,105,18,100,95,12,115,C45,C45,B50,A43,A43,C45
elneneasesino,3696,970,83,867,902,97,777,61,6,192,231,30,54,D01,D37,B01,B01,B01,A40
maestro1974,1177,260,12,312,270,9,314,42,1,51,41,3,51,C50,C42,B00,C50,B00,-1
alan_abreu,2992,674,55,783,680,58,742,53,6,62,58,6,63,B01,C01,C55,A45,C55,B01
luisangelbriceno,27,3,3,13,2,1,5,1,1,4,1,1,1,B01,A45,C45,C65,C45,C47
rfc11,4562,1080,55,1186,1038,50,1153,99,5,107,108,6,115,A40,A40,B50,B20,B20,A40
fjag_e5,876,189,13,235,200,13,226,19,3,30,23,2,30,B01,C01,-1,B90,A40,-1
panza1977,3489,1071,111,640,992,99,576,248,24,206,343,38,126,C44,B21,B40,B40,B40,B21
guadajg,1293,327,15,302,322,14,313,50,3,23,35,2,44,C44,C44,B90,D00,B20,-1
gian78,5294,1267,105,1322,1217,102,1281,137,11,130,124,11,113,D00,A40,B10,B10,B10,A45
susanamar1,1265,378,53,235,349,58,192,45,6,22,31,7,18,C00,B01,C70,C70,B00,B01
mnmassari,19302,4851,889,4493,4300,785,3984,551,103,352,329,75,365,D02,D02,B50,B50,B50,D02
jaivismar123,57,11,0,16,9,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
edwuinb1,2168,531,29,526,523,33,526,47,3,75,66,6,42,B01,B01,C50,C50,C50,B01
valera25,7292,1919,260,1546,1776,319,1472,129,18,162,183,37,101,B10,B90,B40,B43,B43,B10
romg12,9742,2582,246,2101,2556,224,2033,212,28,239,294,34,163,C00,C00,B40,B40,B40,C00
ronald_linares02,3333,714,38,901,741,43,896,96,10,210,239,20,100,C44,C00,C00,C00,C00,C00
junior28,1481,370,31,384,336,25,335,105,10,58,45,3,107,D00,A45,B33,B33,B21,D00
vladsuar,12974,3120,170,3408,2899,187,3190,1016,43,485,397,28,891,D00,D00,B50,A80,A80,D00
lego77,6168,1732,100,1553,1408,115,1260,623,34,349,274,24,409,D00,D00,B10,B10,B10,D00
lacreogd,2647,658,70,593,665,65,596,70,10,114,151,12,57,B30,B01,C00,C00,C10,B50
cjop2,3916,917,59,978,928,56,978,165,7,125,93,11,212,B21,B01,C60,C60,C60,B21
mariubaldo135,1619,410,28,396,372,40,373,122,6,45,52,7,99,D02,A40,B30,B30,B30,D02
cacho22,3254,719,44,838,766,38,849,98,6,248,256,16,83,C50,C02,B27,B27,B27,C50
gova479,7382,1096,146,2660,1372,144,1964,162,23,775,397,40,234,A40,A40,B00,B00,B00,A40
douglasabreu,3985,1018,72,979,941,73,902,168,13,95,105,9,170,B20,B20,C55,C55,C55,B20
abril_espinoza,407,53,6,134,65,6,143,6,2,16,7,1,11,B00,C01,C44,-1,C44,-1
samuel22bastidas,4184,1161,91,924,1076,94,838,115,16,87,84,8,81,A40,A40,A00,B32,A04,A40
wilsonpalencia,24099,6800,1298,4152,6586,1336,3927,595,72,387,678,98,401,A00,A00,B01,B01,B01,A00
carlbc84,4634,1107,122,1096,1093,114,1102,173,14,116,129,15,148,B20,C50,C64,C64,C64,B20
chewuar85,1987,549,53,421,516,62,386,143,16,157,193,25,87,A04,A04,B01,B01,B01,A04
williams_abreu78,3883,1071,21,868,1056,31,836,128,3,102,143,6,113,-1,B06,-1,-1,-1,-1
yosecarrasco,66,19,0,21,12,0,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
doandris2004,2083,538,33,509,496,40,467,37,4,75,62,3,30,B00,B00,C00,C00,C01,C00
jab17,5176,1502,86,1024,1468,98,998,131,6,50,97,6,89,A00,D35,B27,B27,A04,A00
acerojavier,2877,706,71,715,651,83,651,174,18,145,138,20,157,D02,D02,B06,B27,A40,D02
angelluque,838,115,17,299,101,16,290,73,6,82,34,3,149,A00,A00,C00,C00,C50,A00
doandris15marin,318,77,10,81,81,5,64,6,2,11,16,1,10,C00,B32,B00,B01,C42,-1
lisyender,18746,4823,636,4217,4622,863,3585,500,52,406,362,123,339,C00,C00,-1,-1,C50,-1
alejo_santos18,1783,521,52,407,425,46,332,92,15,65,67,9,82,A40,A40,B32,B32,B30,A40
yosbelbenitez,189,40,0,50,38,5,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jeffren10,12795,3365,272,2908,3213,272,2765,357,31,305,312,28,288,C00,B01,B00,B00,A46,B01
jchh,15961,4043,308,3970,3696,339,3605,222,15,252,247,32,244,A10,A10,B40,B40,B40,-1
javiersalvador12,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
larreal,10025,2558,91,2577,2335,117,2347,355,7,275,275,18,238,B21,B21,B00,B00,B00,B21
cabri007,14750,3598,295,3690,3429,291,3447,199,21,259,226,25,210,A10,B01,C00,A00,B40,B21
monchosky,1177,302,19,291,283,12,270,70,3,110,130,7,55,C44,B21,B01,B01,B01,B21
juliocesartovar4,3006,745,55,745,697,50,714,81,5,260,285,30,49,B01,C50,B01,B01,B01,B01
oscarhernadez,4977,1427,122,1080,1292,106,950,444,36,110,149,24,261,D02,D02,B32,B32,B32,D02
cjop1,4532,1193,85,1073,1069,120,992,223,19,171,212,23,102,C45,C45,B32,B32,B32,C00
gilaryaraujo12,2260,313,39,761,330,42,775,49,7,120,49,10,116,C45,C45,C42,-1,C42,-1
emilynaranjo,112,23,1,31,23,1,33,13,1,4,4,1,10,D00,A45,B00,B50,A45,D00
jesus1999gm,3449,870,78,807,843,69,782,57,6,30,41,6,59,B01,B32,C41,A45,B30,B01
chava08,462,123,13,124,101,12,89,18,3,14,14,3,12,C45,C45,C50,C50,C45,C45
josealvarez07,3617,803,69,929,804,82,930,110,7,177,194,21,110,A10,A15,B10,B10,B10,A10
adiosabu23,4620,1002,224,1193,884,236,1081,56,13,64,61,16,68,A45,A45,B32,B32,B30,A45
ghkeiven,255,42,5,88,37,3,80,7,1,8,6,1,8,B00,C42,C50,-1,A20,B32
rjpc,784,132,14,254,123,15,246,16,2,50,20,6,26,B00,B95,A43,A43,B50,-1
jacksilany,467,102,4,149,78,14,120,25,1,42,17,8,18,C45,C45,C42,C42,C42,C45
moisesbastidas7822,4542,1103,148,1107,1031,138,1015,372,41,138,130,15,341,A04,A04,B10,B10,D00,A04
ramonzambrano,1755,459,35,436,423,29,373,43,5,47,54,6,34,D37,D15,C60,C60,C60,D45
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
